Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
BRAW VISION LTD;EH16 6GE;59111;59111;
ENEMY PRODUCTIONS LTD;EH6 8HP;59111;"59111
60200";
BLUEMINK LIMITED;EH10 5TR;59111;59111;
MONKEY BARREL RECORDS LTD;EH1 1LG;18201;"18201
18202
46431
59200";
OCCASIONS FM LTD;EH14 3JJ;59112;"59112
60100
73120
74203";
SCOTIA MEDIA LIMITED;EH30 9AN;59112;"59112
74201
74202";
BROADSTONE NETWORK LTD;EH6 6JD;59112;59112;
RMH PRODUCTIONS LTD;EH20 9NX;59112;"59112
73110";
GONGO BEATS LIMITED;EH9 1RJ;59112;"59112
59200";
CLINGFISH LTD;EH39 5PX;59111;59111;
HENRY MACPHERSON VIDEOGRAPHY LTD;EH3 9BH;59112;59112;
AERIAL IMAGE SOLUTIONS LIMITED;EH10 5XB;59112;"59112
74209
74300";
GIRLBITESDOG LTD;EH4 2TQ;59111;59111;
PARADISO FILMS EDI LIMITED;EH4 1NH;59111;59111;
INDY EVENTS LTD;EH7 4GA;59140;59140;
FEEL MA EARS LTD;EH6 4DD;59112;"59112
59120";
MUSICAL THEATRE FITNESS LTD;EH7 5TE;59112;59112;
DRAFI PRODUCTIONS LIMITED;EH12 5TL;18202;"18202
59120
59200";
TECH TRAVEL GEEKS LIMITED;EH12 7BX;59112;59112;
THE MOMENT TV TECHNOLOGY LTD;EH21 7RH;59112;59112;
PICTURE ZERO PRODUCTIONS LIMITED;EH7 5YL;59111;59111;
HAIDES LTD;EH16 4BH;59112;"59112
63120";
BLACK CASTLE MEDIA LIMITED;EH2 3JG;59112;59112;
UPLOAD STUDIOS LIMITED;EH7 5LN;59112;59112;
POWELLITE IMPACT LTD;EH3 5LU;59112;"59112
63110";
